record_type,record_id,source_ids,source_file,source_sha256,source_type,canonical_asset_id,disposition,priority,intended_role,output_basename,status,notes
source,SRC-13,13,13_lotus-asset-board-11.png,82f344e76f5b7ea27524454c033a0e049f7129551d4aae5503d99b06dc13651d,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-14,14,14_lotus-asset-board-12.png,b48e370ad7a154924fad9a2db43cabd78cc6894a686789a58b0485683c8ca8f3,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Baked checkerboard and labels; no direct shipping"
source,SRC-15,15,15_lotus-asset-board-13.png,6c33b171eb1f6b1a126e0c0854f087a2c35c5b36529809537a105fd80bd11df8,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-16,16,16_lotus-asset-board-14.png,dd82cb621ef38879f912a7843fbb237d5efd61865608b118ace3c5663fb0073e,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Baked checkerboard and labels; no direct shipping"
source,SRC-17,17,17_lotus-asset-board-15.png,95af31ef34192f33229e6242756a8ce71acd4b862d7e76f59d678576ae68eb17,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-18,18,18_visual-direction-board-01.png,99dbbfc56602b66c8f79d18961b29b75f5790780964752da58c2ab96106f358f,visual-direction,,reference-only,LOCKED,visual-reference,,locked,"Direction only; never import or promote"
source,SRC-19,19,19_visual-direction-board-02.png,212a3c49432d7106b80a6e40922ed66b7b0099d960fa34d0084cc31346115422,visual-direction,,reference-only,LOCKED,visual-reference,,locked,"Direction only; never import or promote"
source,SRC-20,20,20_visual-direction-board-03.png,7397d592a39faf4d0431142dca7eab30184e651d471d50c69dde356480d26ace,visual-direction,,reference-only,LOCKED,visual-reference,,locked,"Direction only; never import or promote"
candidate,CIN-BUD,01,01_lotus-bud-cinematic.png,55c7f8102298c34186702c1a854e5d02ee0df95f1afb0d4ea3761e12d4de1257,standalone-scene,CIN-BUD,direct-convert,P0,hero-and-bloom-chapter,cinematic-lotus-bud-pond,approved,"Responsive 1536 and 768 derivatives"
candidate,CIN-BLOOM,02,02_lotus-full-bloom-cinematic.png,d80753ff94c6ec851ddbc6f33ff259a5e6bd90470b1e6723d52a267f9045b688,standalone-scene,CIN-BLOOM,direct-convert,P0,bloom-chapter,cinematic-lotus-bloom-pond,approved,"Responsive 1536 and 768 derivatives"
candidate,LOT-BUD,03-17,,,repeated-board-concept,LOT-BUD,retain-existing,P0,hero-and-field,lotus-bud,integrated,"Existing transparent production asset"
candidate,LOT-EARLY,03-17,,,repeated-board-concept,LOT-EARLY,generate,P0,bloom-progression,lotus-bloom-early-open,production-ready,"Generated individually; alpha and payload gates passed"
candidate,LOT-HALF,03-17,,,repeated-board-concept,LOT-HALF,generate,P0,bloom-progression,lotus-bloom-half-open,production-ready,"Generated individually; alpha and payload gates passed"
candidate,LOT-FULL,03-17,,,repeated-board-concept,LOT-FULL,retain-existing,P0,hero-field-return,lotus-bloom-full,integrated,"Existing transparent production asset"
candidate,LOT-SEPALS,03-17,,,repeated-board-concept,LOT-SEPALS,defer,P2,layered-bloom,lotus-sepals,deferred,"Whole-state crossfades do not require an independent sepal layer"
candidate,LOT-STEM,03-17,,,repeated-board-concept,LOT-STEM,defer,P2,layered-bloom,lotus-stem,deferred,"Existing CSS stem is cheaper and adequate"
candidate,LOT-CENTER,03-17,,,repeated-board-concept,LOT-CENTER,defer,P2,macro-transition,lotus-center-stamens,deferred,"No approved independent macro transition in this iteration"
candidate,LOT-SEEDPOD,03-17,,,repeated-board-concept,LOT-SEEDPOD,defer,P3,macro-editorial,lotus-seed-pod,deferred,"No approved scene role"
candidate,LOT-POLLEN,03-17,,,repeated-board-concept,LOT-POLLEN,defer,P3,atmosphere,lotus-pollen-overlay,deferred,"CSS particles cover the current need"
candidate,PETAL-LAYER-OUTER,03-17,,,repeated-board-concept,PETAL-LAYER-OUTER,defer,P2,layered-bloom,lotus-petal-outer-01,deferred,"Whole-state crossfade avoids speculative hinge layers"
candidate,PETAL-LAYER-MIDDLE,03-17,,,repeated-board-concept,PETAL-LAYER-MIDDLE,defer,P2,layered-bloom,lotus-petal-middle-01,deferred,"Whole-state crossfade avoids speculative hinge layers"
candidate,PETAL-LAYER-INNER,03-17,,,repeated-board-concept,PETAL-LAYER-INNER,defer,P2,layered-bloom,lotus-petal-inner-01,deferred,"Whole-state crossfade avoids speculative hinge layers"
candidate,PETAL-LOOSE,03-17,,,repeated-board-concept,PETAL-LOOSE,retain-existing,P1,field-and-vortex,lotus-petal-floating-01,integrated,"Three existing distinct production petals"
candidate,LEAF-FOREGROUND,03-17,,,repeated-board-concept,LEAF-FOREGROUND,retain-existing,P1,field-depth,lotus-leaf-foreground,integrated,"Existing transparent production leaf"
candidate,LEAF-SIDE,03-17,,,repeated-board-concept,LEAF-SIDE,defer,P3,field-depth,lotus-leaf-side-01,deferred,"Existing leaf plus transforms supplies sufficient variation"
candidate,LEAF-DISTANT,03-17,,,repeated-board-concept,LEAF-DISTANT,defer,P3,field-depth,lotus-leaf-distant-01,deferred,"Existing leaf plus scaling supplies sufficient variation"
candidate,WATER-PLATE,03-17,,,repeated-board-concept,WATER-PLATE,retain-existing,P0,zero-g-field,lotus-water-plate,integrated,"Existing wide production plate"
candidate,WATER-REFLECTION,03-17,,,repeated-board-concept,WATER-REFLECTION,generate,P1,cinematic-handoff,lotus-water-reflection-plate,production-ready,"Generated individually; responsive derivatives pass payload gates"
candidate,WATER-RIPPLE,03-17,,,repeated-board-concept,WATER-RIPPLE,generate,P1,cinematic-handoff,lotus-water-ripple-overlay,production-ready,"Generated individually with black-backed screen-blend contract"
candidate,WATER-DROPLETS,03-17,,,repeated-board-concept,WATER-DROPLETS,defer,P3,atmosphere,lotus-water-droplets-overlay,deferred,"No named scene requires a raster droplet layer"
candidate,WATER-BOKEH,03-17,,,repeated-board-concept,WATER-BOKEH,defer,P3,atmosphere,lotus-water-bokeh-overlay,deferred,"CSS gradients cover the current need"
candidate,WATER-MIST,03-17,,,repeated-board-concept,WATER-MIST,defer,P3,atmosphere,lotus-water-mist-overlay,deferred,"CSS blur/gradient treatment is cheaper"
candidate,WATER-SUNLIGHT,03-17,,,repeated-board-concept,WATER-SUNLIGHT,defer,P3,atmosphere,lotus-water-sunlight-overlay,deferred,"Cinematic plates already contain natural light"
candidate,ORBIT-BOUQUETS,00;18-20,,,directional-reference,ORBIT-BOUQUETS,retain-existing,P0,orbit-and-shop,orbit-wild-signal,integrated,"Four existing bouquet cutouts remain approved; boards are not product sources"
